#time;bin;time_acq
-0.003;0;1
0.003;0;1
0.009;0;1
0.015;0;1
0.021;0;1
0.027;0;1
0.033;0;1
0.039;0;1
0.045;0;1
0.051;0;1
0.057;0;1
0.063;0;1
0.069;0;1
0.075;0;1
0.081;0;1
0.087;0;1
0.093;0;1
0.099;0;1
0.105;0;1
0.111;0;1
0.117;0;1
0.123;0;1
0.129;0;1
0.135;0;1
0.141;0;1
0.147;0;1
0.153;0;1
0.159;0;1
0.165;0;1
0.171;0;1
0.177;0;1
0.183;0;1
0.189;0;1
0.195;0;1
0.201;0;1
0.207;0;1
0.213;0;1
0.219;0;1
0.225;0;1
0.231;0;1
0.237;0;1
0.243;0;1
0.249;0;1
0.255;0;1
0.261;0;1
0.267;0;1
0.273;0;1
0.279;0;1
0.285;0;1
0.291;0;1
0.297;0;1
0.303;0;1
0.309;0;1
0.315;0;1
0.321;0;1
0.327;0;1
0.333;0;1
0.339;0;1
0.345;0;1
0.351;0;1
0.357;0;1
0.363;0;1
0.369;0;1
0.375;0;1
0.381;0;1
0.387;0;1
0.393;0;1
0.399;0;1
0.405;0;1
0.411;0;1
0.417;0;1
0.423;0;1
0.429;0;1
0.435;0;1
0.441;0;1
0.447;0;1
0.453;0;1
0.459;0;1
0.465;0;1
0.471;0;1
0.477;0;1
0.483;0;1
0.489;0;1
0.495;0;1
0.501;0;1
0.507;0;1
0.513;0;1
0.519;0;1
0.525;0;1
0.531;0;1
0.537;0;1
0.543;0;1
0.549;0;1
0.555;0;1
0.561;0;1
0.567;0;1
0.573;0;1
0.579;0;1
0.585;0;1
0.591;0;1
0.597;0;1
0.603;0;1
0.609;0;1
0.615;0;1
0.621;0;1
0.627;0;1
0.633;0;1
0.639;0;1
0.645;0;1
0.651;0;1
0.657;0;1
0.663;0;1
0.669;0;1
0.675;0;1
0.681;0;1
0.687;0;1
0.693;0;1
0.699;0;1
0.705;0;1
0.711;0;1
0.717;0;1
0.723;0;1
0.729;0;1
0.735;0;1
0.741;0;1
0.747;0;1
0.753;0;1
0.759;0;1
0.765;0;1
0.771;0;1
0.777;0;1
0.783;0;1
0.789;0;1
0.795;0;1
0.801;0;1
0.807;0;1
0.813;0;1
0.819;0;1
0.825;0;1
0.831;0;1
0.837;0;1
0.843;0;1
0.849;0;1
0.855;0;1
0.861;0;1
0.867;0;1
0.873;0;1
0.879;0;1
0.885;0;1
0.891;0;1
0.897;0;1
0.903;0;1
0.909;0;1
0.915;0;1
0.921;0;1
0.927;0;1
0.933;0;1
0.939;0;1
0.945;0;1
0.951;0;1
0.957;0;1
0.963;0;1
0.969;0;1
0.975;0;1
0.981;0;1
0.987;0;1
0.993;0;1
0.999;0;1
1.005;0;1
1.011;0;1
1.017;0;1
1.023;0;1
1.029;0;1
1.035;0;1
1.041;0;1
1.047;0;1
1.053;0;1
1.059;0;1
1.065;0;1
1.071;0;1
