#time;bin;time_acq
-0.05;0;1
0.05;0;1
0.15;0;1
0.25;0;1
0.35;0;1
0.45;1;1
0.55;0;1
0.65;0;1
0.75;0;1
0.85;0;1
0.95;0;1
1.05;0;1
1.15;0;1
1.25;0;1
1.35;0;1
1.45;0;1
1.55;0;1
1.65;1;1
1.75;0;1
1.85;1;1
1.95;0;1
2.05;0;1
2.15;0;1
2.25;0;1
2.35;0;1
2.45;0;1
2.55;0;1
2.65;0;1
2.75;0;1
2.85;0;1
2.95;0;1
3.05;0;1
3.15;0;1
3.25;0;1
3.35;0;1
3.45;0;1
3.55;0;1
3.65;0;1
3.75;0;1
3.85;0;1
3.95;0;1
4.05;0;1
4.15;0;1
4.25;0;1
4.35;0;1
4.45;0;1
4.55;0;1
4.65;1;1
4.75;0;1
4.85;0;1
4.95;0;1
5.05;0;1
5.15;0;1
5.25;0;1
5.35;0;1
5.45;0;1
5.55;0;1
5.65;0;1
5.75;0;1
5.85;0;1
5.95;0;1
6.05;0;1
6.15;0;1
6.25;0;1
6.35;0;1
6.45;0;1
6.55;0;1
6.65;0;1
6.75;0;1
6.85;0;1
6.95;0;1
7.05;0;1
7.15;0;1
7.25;0;1
7.35;0;1
7.45;0;1
7.55;0;1
7.65;0;1
7.75;0;1
7.85;0;1
7.95;0;1
8.05;0;1
8.15;0;1
8.25;0;1
8.35;0;1
8.45;0;1
8.55;0;1
8.65;0;1
8.75;0;1
8.85;0;1
8.95;0;1
9.05;0;1
9.15;0;1
9.25;0;1
9.35;0;1
9.45;1;1
9.55;0;1
9.65;0;1
9.75;0;1
9.85;0;1
9.95;0;1
10.05;0;1
10.15;0;1
10.25;0;1
10.35;0;1
10.45;0;1
10.55;0;1
10.65;0;1
10.75;0;1
10.85;0;1
10.95;0;1
11.05;0;1
11.15;0;1
11.25;0;1
11.35;0;1
11.45;0;1
11.55;0;1
11.65;0;1
11.75;0;1
11.85;0;1
11.95;0;1
12.05;0;1
12.15;0;1
12.25;0;1
12.35;0;1
12.45;0;1
12.55;0;1
12.65;0;1
12.75;0;1
12.85;0;1
12.95;0;1
13.05;0;1
13.15;0;1
13.25;0;1
13.35;0;1
13.45;0;1
